Новостройки,Оценка,Автор отзыва,Отзыв,Отзывы очищенные,RuterExtractor,Ключевые слова BERT,Ключевые слова YAKE,Все ключевые слова YAKE,Ключевые слова rake,Ключевые слова RAKE,Ключевые слова_filtered,
Европейский,Положительная,Наталия Широкова,"Новый жилой район, поэтому мало жильцов. Многие делают ремонты. Вместо асфальта тротуарная плитка, чисто. Понравились детские площадки и зелёные насаждения.",новый жилой район поэтому мало жильцов многие делают ремонты вместо асфальта тротуарная плитка чисто понравились детские площадки зелёные насаждения,"тротуарная плитка, ремонты асфальта, зелёные насаждения","достопримечательностью подкачали, предоставляющая коммунальные, качественных стройматериалов, главной достопримечательностью, звукопроницаемость ужасная, красивое живописное, подключаемой водоснабжению, понастрояли жильцы, давыдовский непривычно, подобными застройщиками","['новый жилой район', 'площадки зелёные насаждения', 'жилой район поэтому', 'жильцов многие делают', 'делают ремонты вместо', 'вместо асфальта тротуарная', 'тротуарная плитка чисто', 'плитка чисто понравились', 'понравились детские площадки', 'детские площадки зелёные']","новый жилой район, площадки зелёные насаждения, жилой район поэтому, жильцов многие делают, делают ремонты вместо, вместо асфальта тротуарная, тротуарная плитка чисто, плитка чисто понравились, понравились детские площадки, детские площадки зелёные",новый жилой район поэтому мало жильцов многие делают ремонты вместо асфальта тротуарная плитка чисто понравились детские площадки зелёные насаждения,"новый, жилой, район, поэтому, мало, жильцов, многие, делают, ремонты, вместо, асфальта, тротуарная, плитка, чисто, понравились, детские, площадки, зелёные, насаждения",новый жилой район поэтому мало жильцов многие делают ремонты вместо асфальта тротуарная плитка чисто понравились детские площадки зелёные насаждения,
Европейский,Положительная,Ирина Дьячкова,Всё отлично..живу в этом районе 😊,всё отлично живу районе,район,"отлично живу, красивое живописное, доподлинно живу, встречаются жители, запросов жителей, очень живописное, очень живописном, достаточно живописно, жильцами попробуйте, обязательно живёт","['отлично живу районе', 'живу']","отлично живу районе, живу",всё отлично живу районе,"всё, отлично, живу, районе",всё отлично живу районе,
Европейский,Положительная,Владимир В.,"Красиво и недалеко - от центра  не более 15 минут на общественном транспорте ,  в  благоустроенном районе,  рядом КГТУ, РИО,   чистый воздух,  транспортная доступность (15 и 57...) ....). Люблю малоэтажки и  АОГВ. Сдается в установленные сроки без задержек!!!!",красиво недалеко центра минут общественном транспорте благоустроенном районе рядом кгту рио чистый воздух транспортная доступность люблю малоэтажки аогв сдается установленные сроки задержек,"установленные сроки задержек, чистый воздух, транспортная доступность, кгт","качественных стройматериалов, достопримечательностью подкачали, благоустройству количеству, предоставляющая коммунальные, большинства костромичей, главной достопримечательностью, подключаемой водоснабжению, недочёты благоустройству, общественного транспорта, установленным застройщиком","['установленные сроки задержек', 'центра минут общественном', 'транспорте благоустроенном районе', 'кгту рио чистый', 'рио чистый воздух', 'воздух транспортная доступность', 'доступность люблю малоэтажки', 'малоэтажки аогв сдается', 'аогв сдается установленные', 'районе рядом кгту']","установленные сроки задержек, центра минут общественном, транспорте благоустроенном районе, кгту рио чистый, рио чистый воздух, воздух транспортная доступность, доступность люблю малоэтажки, малоэтажки аогв сдается, аогв сдается установленные, районе рядом кгту",красиво недалеко центра минут общественном транспорте благоустроенном районе рядом кгту рио чистый воздух транспортная доступность люблю малоэтажки аогв сдается установленные сроки задержек,"красиво, недалеко, центра, минут, общественном, транспорте, благоустроенном, районе, рядом, кгту, рио, чистый, воздух, транспортная, доступность, люблю, малоэтажки, аогв, сдается, установленные, сроки, задержек",красиво недалеко центра минут общественном транспорте благоустроенном районе рядом кгту рио чистый воздух транспортная доступность люблю малоэтажки аогв сдается установленные сроки задержек,
Европейский,Нейтральная,Алексей Чернышев,"Приятный, тихий, новый район, из недостатков временное отсутствие магазинов шаговой доступности",приятный тихий новый район недостатков временное отсутствие магазинов шаговой доступности,"приятный тихий новый район недостатков, временное отсутствие магазинов","качественных стройматериалов, давыдовский непривычно, недочёты благоустройству, планировки трехкомнатных, достопримечательностью подкачали, наилучшие рекомендации, предусмотренный парковочные, непосредственной близости, недоработки домовых, недостаток парковочных","['приятный тихий новый', 'магазинов шаговой доступности', 'тихий новый район', 'район недостатков временное', 'отсутствие магазинов шаговой', 'временное отсутствие', 'тихий', 'новый', 'район']","приятный тихий новый, магазинов шаговой доступности, тихий новый район, район недостатков временное, отсутствие магазинов шаговой, временное отсутствие, тихий, новый, район",приятный тихий новый район недостатков временное отсутствие магазинов шаговой доступности,"приятный, тихий, новый, район, недостатков, временное, отсутствие, магазинов, шаговой, доступности",приятный тихий новый район недостатков временное отсутствие магазинов шаговой доступности,
Европейский,Положительная,Alexandr Kropotov,"Купил здесь квартиру для дочки на этапе фундамента. Район тихий, красивый. Надеюсь, что и качество жилья не разочарует.",купил квартиру дочки этапе фундамента район тихий красивый надеюсь качество жилья разочарует,"качество жилья, район, дочки","качественных стройматериалов, достопримечательностью подкачали, отслаивающейся квартирах, квартиру лесопарковой, предоставляющая коммунальные, живописном красивом, красивое живописное, большинства костромичей, главной достопримечательностью, наилучшие рекомендации","['купил квартиру дочки', 'качество жилья разочарует', 'дочки этапе фундамента', 'фундамента район тихий', 'район тихий красивый', 'красивый надеюсь качество', 'купил', 'дочки', 'этапе', 'район']","купил квартиру дочки, качество жилья разочарует, дочки этапе фундамента, фундамента район тихий, район тихий красивый, красивый надеюсь качество, купил, дочки, этапе, район",купил квартиру дочки этапе фундамента район тихий красивый надеюсь качество жилья разочарует,"купил, квартиру, дочки, этапе, фундамента, район, тихий, красивый, надеюсь, качество, жилья, разочарует",купил квартиру дочки этапе фундамента район тихий красивый надеюсь качество жилья разочарует,
Европейский,Положительная,Михаил Победин,Спокойный район,спокойный район,спокойный район,"спокойный район, спальный район, современный район, спокойный двор, спокойной микрорайон, спокойный чистый, спокойный тихий, спокойной новый, спокойствия размеренной, современный микрорайон",['спокойный район'],спокойный район,спокойный район,"спокойный, район",спокойный район,
Европейский,Положительная,Игорь Лапшин,"Снимал квартиру, интересный уютный, тихий  район.",снимал квартиру интересный уютный тихий район,интересный уютный тихий район,"качественных стройматериалов, квартиру интересный, красивый современный, красивый инфраструктуры, крртонные слышимасть, старинными церквами, современный красивый, современными детскими, планировки трехкомнатных, красивый малоквартирный","['снимал квартиру интересный', 'уютный тихий район', 'интересный уютный', 'снимал', 'район', 'тихий']","снимал квартиру интересный, уютный тихий район, интересный уютный, снимал, район, тихий",снимал квартиру интересный уютный тихий район,"снимал, квартиру, интересный, уютный, тихий, район",снимал квартиру интересный уютный тихий район,
Европейский,Положительная,Андрей Писемский,"Сам работаю по газу на Европейском, уже построено много домов и ещё будут, хороший 👍 микрорайон",работаю газу европейском построено домов ещё будут хороший микрорайон,хороший микрорайон,"благоустройство хорошее, застройщиком оборудованием, электроприборы работают, предлагающих бронирование, благоустройству количеству, обслуживает хорошая, продолжается благоустройством, работавшего отравленной, производства работавшего, главной достопримечательностью","['работаю газу европейском', 'европейском построено домов', 'хороший микрорайон', 'работаю', 'газу', 'домов']","работаю газу европейском, европейском построено домов, хороший микрорайон, работаю, газу, домов",работаю газу европейском построено домов ещё будут хороший микрорайон,"работаю, газу, европейском, построено, домов, ещё, будут, хороший, микрорайон",работаю газу европейском построено домов ещё будут хороший микрорайон,
Европейский,Нейтральная,Владимир Иванов,Скоро будет уютный район. Как дорогу сделают),скоро уютный район дорогу сделают,уютный район,"соблюдали технологию, главной достопримечательностью, узки двухсторонее, котельной разводят, квартиры удобное, своей конфигурации, куча строительного, другие стандартной, отлично супермаркеты, строящийся микрорайон","['скоро уютный район', 'район дорогу сделают', 'скоро', 'район']","скоро уютный район, район дорогу сделают, скоро, район",скоро уютный район дорогу сделают,"скоро, уютный, район, дорогу, сделают",скоро уютный район дорогу сделают,
Европейский,Положительная,Муроджон Кабилов,Хороший и чистый район,хороший чистый район,хороший чистый район,"хороший чистый, хорошие чистые, район хороший, частенько хороший, хороший район, хороший микрорайон, хотелось районе, катино хороший, хорошие квартиры, хорошие площадки","['хороший чистый район', 'район']","хороший чистый район, район",хороший чистый район,"хороший, чистый, район",хороший чистый район,
Европейский,Положительная,Юлия П.,"Выглядит симпотично. Стройка идет полным ходом, иногда, даже в выходные! Квартиры не дешевые. Тихий, спальный район, окруженный лесом по 3 сторонам)",выглядит симпотично стройка идет полным ходом выходные квартиры дешевые тихий спальный район окруженный лесом сторонам,"выходные квартиры, стройка","предоставляющая коммунальные, качественных стройматериалов, качеством выполняемых, достопримечательностью подкачали, поликлиника всевозможные, давыдовский непривычно, взаимодействие собственниками, выполненных строительных, преимущества слышимость, производителей спокойный","['выглядит симпотично стройка', 'окруженный лесом сторонам', 'стройка идет полным', 'идет полным ходом', 'ходом выходные квартиры', 'квартиры дешевые тихий', 'спальный район окруженный', 'тихий спальный', 'выглядит', 'идет']","выглядит симпотично стройка, окруженный лесом сторонам, стройка идет полным, идет полным ходом, ходом выходные квартиры, квартиры дешевые тихий, спальный район окруженный, тихий спальный, выглядит, идет",выглядит симпотично стройка идет полным ходом выходные квартиры дешевые тихий спальный район окруженный лесом сторонам,"выглядит, симпотично, стройка, идет, полным, ходом, выходные, квартиры, дешевые, тихий, спальный, район, окруженный, лесом, сторонам",выглядит симпотично стройка идет полным ходом выходные квартиры дешевые тихий спальный район окруженный лесом сторонам,
Европейский,Положительная,Андрей У.,Интересный стоиться микрорайон,интересный стоиться микрорайон,микрорайон,"интересный стоиться, интересный своеобразный, инфрастурктура сравнительно, инфраструктуры находится, инфраструктурой детскими, стоиться микрорайон, инфраструктурой надеюсь, инфраструктуры надеемся, инфраструктуры никакой, исчезли прекрасный","['интересный стоиться микрорайон', 'стоиться']","интересный стоиться микрорайон, стоиться",интересный стоиться микрорайон,"интересный, стоиться, микрорайон",интересный стоиться микрорайон,
Европейский,Положительная,Алексей Алексеев,"Новый район,минус нет магазинов",новый район минус магазинов,новый район,"новый микрорайон, несколько магазинов, микрорайон новый, нормальный район, немыслимые размеров, минусов недоделана, наилучшие рекомендации, настоящий муравейник, микрорайон находится, минусов расположение","['новый район минус', 'район минус магазинов', 'новый', 'район', 'минус']","новый район минус, район минус магазинов, новый, район, минус",новый район минус магазинов,"новый, район, минус, магазинов",новый район минус магазинов,
Европейский,Положительная,Сергей Ярославович Пономарев,Отличный район!,отличный район,отличный район,"отличный район, ухоженный район, район окруженный, район построили, идеальный район, район построенный, прекрасный район, отличный микрорайон, уютный район, район компактный",['отличный район'],отличный район,отличный район,"отличный, район",отличный район,
Венеция,Положительная,Светлана Митченко,"Спокойной микрорайон, чисто, единственное что рядом озеро или речка заросшая, весь вид портит, а так мне понравилась, квартира студия, чистенькая, есть всё не обходимое",спокойной микрорайон чисто единственное рядом озеро речка заросшая весь вид портит понравилась квартира студия чистенькая всё обходимое,"заросшая вид, единственное озеро, студия, речка, квартира","достопримечательностью подкачали, качественных стройматериалов, взаимодействие собственниками, предоставляющая коммунальные, коляскивсё предусмотрено, подключаемой водоснабжению, отслаивающейся квартирах, звукопроницаемость ужасная, отталкивающе устаревшие, неряшливое строительство","['спокойной микрорайон чисто', 'микрорайон чисто единственное', 'озеро речка заросшая', 'вид портит понравилась', 'понравилась квартира студия', 'квартира студия чистенькая', 'чистенькая всё обходимое', 'единственное рядом озеро', 'заросшая весь вид', 'чисто']","спокойной микрорайон чисто, микрорайон чисто единственное, озеро речка заросшая, вид портит понравилась, понравилась квартира студия, квартира студия чистенькая, чистенькая всё обходимое, единственное рядом озеро, заросшая весь вид, чисто",спокойной микрорайон чисто единственное рядом озеро речка заросшая весь вид портит понравилась квартира студия чистенькая всё обходимое,"спокойной, микрорайон, чисто, единственное, рядом, озеро, речка, заросшая, весь, вид, портит, понравилась, квартира, студия, чистенькая, всё, обходимое",спокойной микрорайон чисто единственное рядом озеро речка заросшая весь вид портит понравилась квартира студия чистенькая всё обходимое,
Венеция,Положительная,Александр Анатольевич,"Магазины, детский сад, детские площадки. Автобусное сообщение. 15-20 минут до центра Костромы. Чистый, опрятный и тихий микрорайон. Ценник на жильё конечно завышен.",магазины детский сад детские площадки автобусное сообщение минут центра костромы чистый опрятный тихий микрорайон ценник жильё завышен,"автобусное сообщение минут центра костромы, чистый опрятный тихий микрорайон, детский сад, ценник, магазины, жильё","достопримечательностью подкачали, качественных стройматериалов, предоставляющая коммунальные, давыдовский непривычно, достопримечательности музеи, главной достопримечательностью, камуникации дворовые, большинства костромичей, подобными застройщиками, доброжелательные соседи","['магазины детский сад', 'ценник жильё завышен', 'детский сад детские', 'площадки автобусное сообщение', 'сообщение минут центра', 'минут центра костромы', 'костромы чистый опрятный', 'опрятный тихий микрорайон', 'микрорайон ценник жильё', 'сад']","магазины детский сад, ценник жильё завышен, детский сад детские, площадки автобусное сообщение, сообщение минут центра, минут центра костромы, костромы чистый опрятный, опрятный тихий микрорайон, микрорайон ценник жильё, сад",магазины детский сад детские площадки автобусное сообщение минут центра костромы чистый опрятный тихий микрорайон ценник жильё завышен,"магазины, детский, сад, детские, площадки, автобусное, сообщение, минут, центра, костромы, чистый, опрятный, тихий, микрорайон, ценник, жильё, завышен",магазины детский сад детские площадки автобусное сообщение минут центра костромы чистый опрятный тихий микрорайон ценник жильё завышен,
Венеция,Нейтральная,Любовь Волкова,"Развитие инфраструктуры находится на начальной стадии:дороги (особенно весной можно заметить отсутствие как такового асфальтового покрытия-выбоины,страшно за себя и за машину),в зимний период они настолько узки,что двухсторонее движение а/транспорта затруднено.Микрорайон находится на окраине города и вижу имеются проблемы у оабочего населения и школьников уехать к месту работы/учебы.В Венеции имеется 2 магазина (Адмирал,пятерочка),что считаю недостаточным.Также есть большой детский сад.Конечно,есть  своего рода плюс,это как в деревне,может воздух чище,дома трехэтажные ,с высокой слышимостью(видимо застройщики очень экономили на звукоизоляции).И как подводя итог,микрорайон больше подойдет для возрастной категории населения.",развитие инфраструктуры находится начальной стадии дороги особенно весной заметить отсутствие такового асфальтового покрытия выбоины страшно машину зимний период настолько узки двухсторонее движение транспорта затруднено микрорайон находится окраине города вижу имеются проблемы оабочего населения школьников уехать месту работы учебы венеции имеется магазина адмирал пятерочка считаю недостаточным также большой детский сад своего рода плюс это деревне воздух чище дома трехэтажные высокой слышимостью видимо застройщики очень экономили звукоизоляции подводя итог микрорайон подойдет возрастной категории населения,"микрорайон, развитие инфраструктуры, зимний период, движение транспорта, проблемы, отсутствие, магазин, итог, застройщики, дом, воздух, адмирал","качественных стройматериалов, недочёты благоустройству, достопримечательностью подкачали, звукопроницаемость ужасная, взаимодействие собственниками, установленным застройщиком, давыдовский непривычно, предоставляющая коммунальные, продолжается благоустройством, большинства костромичей","['развитие инфраструктуры находится', 'начальной стадии дороги', 'весной заметить отсутствие', 'отсутствие такового асфальтового', 'асфальтового покрытия выбоины', 'покрытия выбоины страшно', 'страшно машину зимний', 'машину зимний период', 'узки двухсторонее движение', 'движение транспорта затруднено']","развитие инфраструктуры находится, начальной стадии дороги, весной заметить отсутствие, отсутствие такового асфальтового, асфальтового покрытия выбоины, покрытия выбоины страшно, страшно машину зимний, машину зимний период, узки двухсторонее движение, движение транспорта затруднено",развитие инфраструктуры находится начальной стадии дороги особенно весной заметить отсутствие такового асфальтового покрытия выбоины страшно машину зимний период настолько узки двухсторонее движение транспорта затруднено микрорайон находится окраине города вижу имеются проблемы оабочего населения школьников уехать месту работы учебы венеции имеется магазина адмирал пятерочка считаю недостаточным также большой детский сад своего рода плюс это деревне воздух чище дома трехэтажные высокой слышимостью видимо застройщики очень экономили звукоизоляции подводя итог микрорайон подойдет возрастной категории населения,"развитие, инфраструктуры, находится, начальной, стадии, дороги, особенно, весной, заметить, отсутствие, такового, асфальтового, покрытия, выбоины, страшно, машину, зимний, период, настолько, узки, двухсторонее, движение, транспорта, затруднено, микрорайон, находится, окраине, города, вижу, имеются, проблемы, оабочего, населения, школьников, уехать, месту, работы, учебы, венеции, имеется, магазина, адмирал, пятерочка, считаю, недостаточным, также, большой, детский, сад, своего, рода, плюс, это, деревне, воздух, чище, дома, трехэтажные, высокой, слышимостью, видимо, застройщики, очень, экономили, звукоизоляции, подводя, итог, микрорайон, подойдет, возрастной, категории, населения",развитие инфраструктуры находится начальной стадии дороги особенно весной заметить отсутствие такового асфальтового покрытия выбоины страшно машину зимний период настолько узки двухсторонее движение транспорта затруднено микрорайон находится окраине города вижу имеются проблемы оабочего населения школьников уехать месту работы учебы венеции имеется магазина адмирал пятерочка считаю недостаточным также большой детский сад своего рода плюс это деревне воздух чище дома трехэтажные высокой слышимостью видимо застройщики очень экономили звукоизоляции подводя итог микрорайон подойдет возрастной категории населения,
Венеция,Положительная,Николай Погонец,"Хороший новый микрорайон, с не высокими жилыми домами. Вокруг чисто и аккуратно, есть магазины хороший подьезд.",хороший новый микрорайон высокими жилыми домами вокруг чисто аккуратно магазины хороший подьезд,"хороший новый микрорайон, хороший подьезд, магазины","качественных стройматериалов, большинства костромичей, живописном красивом, установленным застройщиком, недочёты благоустройству, домов многоквартирных, главной достопримечательностью, обычный многоквартирный, коммуникации дорожный, выполнены керамического","['магазины хороший подьезд', 'новый микрорайон высокими', 'высокими жилыми домами', 'чисто аккуратно магазины', 'домами вокруг чисто', 'подьезд', 'хороший', 'новый', 'жилыми', 'чисто']","магазины хороший подьезд, новый микрорайон высокими, высокими жилыми домами, чисто аккуратно магазины, домами вокруг чисто, подьезд, хороший, новый, жилыми, чисто",хороший новый микрорайон высокими жилыми домами вокруг чисто аккуратно магазины хороший подьезд,"хороший, новый, микрорайон, высокими, жилыми, домами, вокруг, чисто, аккуратно, магазины, хороший, подьезд",хороший новый микрорайон высокими жилыми домами вокруг чисто аккуратно магазины хороший подьезд,
Венеция,Положительная,Надежда Надежда,"Микрорайон расположен в пригороде Костромы, на мой взгляд тихий, спокойный район, ходят автобусы, имеются магазины в шаговой доступности. Если немного прогуляться можно выйти к реке, достаточно живописно",микрорайон расположен пригороде костромы взгляд тихий спокойный район ходят автобусы имеются магазины шаговой доступности немного прогуляться выйти реке достаточно живописно,"тихий спокойный район, микрорайон, магазины, взгляд, автобусы","качественных стройматериалов, предоставляющая коммунальные, достопримечательностью подкачали, продолжается благоустройством, благоустройству количеству, главной достопримечательностью, выполнены керамического, большинства костромичей, подключаемой водоснабжению, качеством выполняемых","['микрорайон расположен пригороде', 'реке достаточно живописно', 'пригороде костромы взгляд', 'взгляд тихий спокойный', 'спокойный район ходят', 'район ходят автобусы', 'автобусы имеются магазины', 'магазины шаговой доступности', 'прогуляться выйти реке', 'доступности немного прогуляться']","микрорайон расположен пригороде, реке достаточно живописно, пригороде костромы взгляд, взгляд тихий спокойный, спокойный район ходят, район ходят автобусы, автобусы имеются магазины, магазины шаговой доступности, прогуляться выйти реке, доступности немного прогуляться",микрорайон расположен пригороде костромы взгляд тихий спокойный район ходят автобусы имеются магазины шаговой доступности немного прогуляться выйти реке достаточно живописно,"микрорайон, расположен, пригороде, костромы, взгляд, тихий, спокойный, район, ходят, автобусы, имеются, магазины, шаговой, доступности, немного, прогуляться, выйти, реке, достаточно, живописно",микрорайон расположен пригороде костромы взгляд тихий спокойный район ходят автобусы имеются магазины шаговой доступности немного прогуляться выйти реке достаточно живописно,
Венеция,Негативная,Марина Я,"Чистый район, транспорт ходит очень плохо есть только два автобуса и 1 маршрутка. Если нет машины выбраться из микрорайона практически не возможно, с такой дорогой такси ехать не хотят. Есть два продуктовых магазина, умный склад, красное белое, несколько пекарен. Огромный плюс автономка - экономия на коммунальных платежах.",чистый район транспорт ходит очень плохо автобуса маршрутка машины выбраться микрорайона практически возможно дорогой такси ехать хотят продуктовых магазина умный склад красное белое несколько пекарен огромный плюс автономка экономия коммунальных платежах,"чистый район, умный склад, маршрутка машины, экономия, транспорт, такси, микрорайон, автономка, автобус","качественных стройматериалов, достопримечательностью подкачали, отслаивающейся квартирах, благоустройству количеству, количеству парковочных, большинства костромичей, предоставляющая коммунальные, планировки трехкомнатных, продолжается благоустройством, квартиру лесопарковой","['чистый район транспорт', 'экономия коммунальных платежах', 'плохо автобуса маршрутка', 'маршрутка машины выбраться', 'машины выбраться микрорайона', 'микрорайона практически возможно', 'возможно дорогой такси', 'такси ехать хотят', 'ехать хотят продуктовых', 'продуктовых магазина умный']","чистый район транспорт, экономия коммунальных платежах, плохо автобуса маршрутка, маршрутка машины выбраться, машины выбраться микрорайона, микрорайона практически возможно, возможно дорогой такси, такси ехать хотят, ехать хотят продуктовых, продуктовых магазина умный",чистый район транспорт ходит очень плохо автобуса маршрутка машины выбраться микрорайона практически возможно дорогой такси ехать хотят продуктовых магазина умный склад красное белое несколько пекарен огромный плюс автономка экономия коммунальных платежах,"чистый, район, транспорт, ходит, очень, плохо, автобуса, маршрутка, машины, выбраться, микрорайона, практически, возможно, дорогой, такси, ехать, хотят, продуктовых, магазина, умный, склад, красное, белое, несколько, пекарен, огромный, плюс, автономка, экономия, коммунальных, платежах",чистый район транспорт ходит очень плохо автобуса маршрутка машины выбраться микрорайона практически возможно дорогой такси ехать хотят продуктовых магазина умный склад красное белое несколько пекарен огромный плюс автономка экономия коммунальных платежах,
